ID,Work Item Type,Title,Assigned To,State,Area Path,Tags,Comment Count
"10","Product Backlog Item","Implement Translator Page/پیاده‌سازی صفحه مترجم‌","melika.mehranpour@yahoo.com <melika.mehranpour@yahoo.com>","New","TranslationOrderApp",,"0"
"9","Product Backlog Item","Orders Management Panel/پنل مدیریت سفارشات","melika.mehranpour@yahoo.com <melika.mehranpour@yahoo.com>","New","TranslationOrderApp",,"0"
"8","Product Backlog Item","Design Order Form/طراحی فرم ثبت سفارش","melika.mehranpour@yahoo.com <melika.mehranpour@yahoo.com>","New","TranslationOrderApp",,"0"
"36","Product Backlog Item","Documentation",,"New","TranslationOrderApp",,"0"
"35","Product Backlog Item","Final Fixes & Bug Resolution",,"New","TranslationOrderApp",,"0"
"34","Product Backlog Item","Collect User Feedback",,"New","TranslationOrderApp",,"0"
"33","Product Backlog Item","Final Release Deployment",,"New","TranslationOrderApp",,"0"
"32","Product Backlog Item","Backup & Recovery",,"New","TranslationOrderApp",,"0"
"31","Product Backlog Item","Enhance System Security",,"New","TranslationOrderApp",,"0"
"30","Product Backlog Item","Code & Database Optimization",,"New","TranslationOrderApp",,"0"
"29","Product Backlog Item","Optimize Website Performance",,"New","TranslationOrderApp",,"0"
"28","Product Backlog Item","Final Testing & Bug Fixing",,"New","TranslationOrderApp",,"0"
"27","Product Backlog Item","Report Orders by Language & Translator",,"New","TranslationOrderApp",,"0"
"26","Product Backlog Item","Build Admin Dashboard with Sales & Performance Stats",,"New","TranslationOrderApp",,"0"
"25","Product Backlog Item","Monitor Transactions",,"New","TranslationOrderApp",,"0"
"24","Product Backlog Item","Show Success/Error Messages After Payment",,"New","TranslationOrderApp",,"0"
"23","Product Backlog Item","Send System Emails & Notifications",,"New","TranslationOrderApp",,"0"
"22","Product Backlog Item","Implement Payment Gateway",,"New","TranslationOrderApp",,"0"
"21","Product Backlog Item","Improve Main Pages UI/بهبود UI صفحات اصلی",,"New","TranslationOrderApp",,"0"
"20","Product Backlog Item","Test File Upload Security/تست امنیت آپلودها",,"New","TranslationOrderApp",,"0"
"19","Product Backlog Item","Upload & Download Files for Customer & Translator/آپلود فایل توسط مشتری",,"New","TranslationOrderApp",,"0"
"16","Product Backlog Item","Display Orders List to Translator/نمایش لیست سفارش‌ها به مترجم",,"New","TranslationOrderApp",,"0"
"18","Product Backlog Item","Complete Order Status System/تکمیل سیستم وضعیت سفارش‌ها",,"New","TranslationOrderApp",,"0"
"15","Product Backlog Item","Start Orders Management System/شروع سیستم مدیریت سفارش",,"New","TranslationOrderApp",,"0"
"11","Product Backlog Item","Implement Order Status Logic/پیاده‌سازی نمایش و تغییر وضعیت سفارش",,"New","TranslationOrderApp",,"0"
